input,output,se_order
"pintu kamar bekas congkel , kamar mandi kurang bersih , lemari baju tidak berpenutup ( dilepas ) , lampu kamar cuma 2 dan remangremang .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pintu kamar <extra_id_1> bekas congkel <extra_id_2> negative ; <extra_id_3> kamar mandi <extra_id_4> kurang bersih <extra_id_5> negative ; <extra_id_6> lemari baju <extra_id_7> tidak berpenutup <extra_id_8> negative ; <extra_id_9> lampu kamar <extra_id_10> remangremang <extra_id_11> negative,aos
"lokasi dekat dengan trans studio bandung , di sekitar hotel ada restoran , cafe ngopi dulu .| aspek : <extra_id_0> ,opini : <extra_id_1>",NULL,ao
"lokasi di gang sempit , susah dtemui . datang awal , tidak bisa early check in , harus tambah fee , harus tunggu smpk jmia . ruang tunggu pengap , bau rokok . kamar kurang bersih , banyak banyak sekali kecoak , banyak debu . langsung check out setelah lihat kamar seperti itu .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> lokasi <extra_id_1> susah dtemui ; <extra_id_2> ruang tunggu <extra_id_3> pengap ; <extra_id_4> ruang tunggu <extra_id_5> bau rokok ; <extra_id_6> kamar <extra_id_7> kurang bersih,ao
mau lanjut mkm ini bagaimana cara .| aspek : <extra_id_0>,NULL,a
berisik suasana diluar kamar dan kamar mandi sempit .| aspek : <extra_id_0>,<extra_id_0> suasana ; <extra_id_1> kamar mandi,a
"bersih , nyaman , mantap , bagus .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as
"resepsionis yang baru sangat ramah buat nyaman .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> resepsionis <extra_id_1> sangat ramah ; <extra_id_2> resepsionis <extra_id_3> nyaman,ao
"kamarnya bersih , tidak mengecewakan , strategis untuk kemanamana .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamarnya <extra_id_1> positive ; <extra_id_2> kamarnya <extra_id_3> neutral ; <extra_id_4> NULL <extra_id_5> positive,as
"pelayanan ramah , kamar cukup bersih , tempat sangat strategic , dekat dengan semua tempat wisata kota .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> positive ; <extra_id_2> kamar <extra_id_3> positive ; <extra_id_4> tempat <extra_id_5> positive,as
"baik sangat nyaman sekali . promo di airi menyenangkan .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> NULL <extra_id_1> sangat nyaman sekali <extra_id_2> positive,aos
"kamarnya besar , bersihh pelayanan ramah , harga yang diberikan sangat memuaskan saat melihat kamarnya lengkap , tetapi akses ke kamarnya yang jauh dibelakang sih dan aroma nya kurang suka , over all ini keren harusnya tidak semurah itu kalau tidak pakai airy room , top deh tidak mengecewakan .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamarnya <extra_id_1> besar <extra_id_2> positive ; <extra_id_3> kamarnya <extra_id_4> bersihh <extra_id_5> positive ; <extra_id_6> pelayanan <extra_id_7> ramah <extra_id_8> positive ; <extra_id_9> harga <extra_id_10> sangat memuaskan <extra_id_11> positive ; <extra_id_12> kamarnya <extra_id_13> lengkap <extra_id_14> positive ; <extra_id_15> aroma nya <extra_id_16> kurang suka <extra_id_17> negative ; <extra_id_18> over all <extra_id_19> keren <extra_id_20> positive,aos
kamar lumayan . sayang wifi susah koneksi .| aspek : <extra_id_0>,<extra_id_0> kamar ; <extra_id_1> wifi,a
"bagusan cuma sayang ada yang tidak berfungsi pelayanan oke .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> oke,ao
"karena harga terjangkau .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> harga <extra_id_1> positive,as
"tempatnya nyaman , bersih , dekat kemanakemana . kurang nya cuma 1 . belum tersedia sarapan . kalau ditambah pelayanan sarapan ini . tambah buat nyaman : ) .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> tempatnya <extra_id_1> positive ; <extra_id_2> sarapan <extra_id_3> negative,as
"tempat yang nyaman untuk menginap . semuanya bersih .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> tempat <extra_id_1> nyaman ; <extra_id_2> semuanya <extra_id_3> bersih,ao
suasana hangat . pertahankan ciri khas orientalnya iya .| opini : <extra_id_0>,<extra_id_0> hangat,o
"kamar oke . wc tersumbat lebih di perhatikan lagi iya kamar nyaman banget .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> oke ; <extra_id_2> wc <extra_id_3> tersumbat ; <extra_id_4> kamar <extra_id_5> nyaman banget,ao
"bagus . bersih . nyaman . sore nya keliling naik becak yang ada di depan penginapan .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> NULL <extra_id_1> bagus <extra_id_2> positive ; <extra_id_3> NULL <extra_id_4> bersih <extra_id_5> positive ; <extra_id_6> NULL <extra_id_7> nyaman <extra_id_8> positive,aos
semua oke . cuma tv hilang gambarnya .| aspek : <extra_id_0>,<extra_id_0> semua ; <extra_id_1> tv,a
"pelayanan cepat , kamar bersih , toilet juga bersih , namun sayang kemarin tidak ada minibar gratis seperti biasa , namun lokasi penginapan mudah dijangkau dan mudah mencari tempat makan . semoga dapat lebih baik lagi .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pelayanan <extra_id_1> cepat <extra_id_2> positive ; <extra_id_3> kamar <extra_id_4> bersih <extra_id_5> positive ; <extra_id_6> toilet <extra_id_7> bersih <extra_id_8> positive ; <extra_id_9> minibar gratis <extra_id_10> tidak ada <extra_id_11> negative ; <extra_id_12> lokasi penginapan <extra_id_13> mudah dijangkau <extra_id_14> positive,aos
"kamar dibersihkan dan dirapikan setiap hari , fasilitas oke , hanya resepsionis sering tidak ada di tempat .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> fasilitas <extra_id_1> positive ; <extra_id_2> resepsionis <extra_id_3> negative,as
"untuk harga yang sangat terjangkau , fasilitasnya melebihi ekspektasi . kamar luas , dingin . sayangnya water heater sedang dibenarkan dan kasur agak keras . cuma untuk harga begini , sangat sangat oke !| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> harga <extra_id_1> sangat terjangkau <extra_id_2> positive ; <extra_id_3> fasilitasnya <extra_id_4> melebihi ekspektasi <extra_id_5> positive ; <extra_id_6> kamar <extra_id_7> luas <extra_id_8> positive ; <extra_id_9> kamar <extra_id_10> dingin <extra_id_11> positive ; <extra_id_12> water heater <extra_id_13> sedang dibenarkan <extra_id_14> negative ; <extra_id_15> kasur <extra_id_16> agak keras <extra_id_17> negative ; <extra_id_18> NULL <extra_id_19> sangat sangat oke <extra_id_20> positive,aos
